CUX1_CUX1_HUMAN.H11MO.0.C	CUX1
DBP_DBP_HUMAN.H11MO.0.B	DBP
DLX3_DLX3_HUMAN.H11MO.0.C	DLX3
DUX4_DUX4_HUMAN.H11MO.0.A	DUX4
DUX4_M08135_2.00	DUX4
DUX4_MA0468.1	DUX4
E2F1_E2F1_HUMAN.H11MO.0.A	E2F1
E2F1_M07938_2.00	E2F1
E2F2_E2F2_HUMAN.H11MO.0.B	E2F2
E2F3_E2F3_HUMAN.H11MO.0.A	E2F3
E2F4_E2F4_HUMAN.H11MO.0.A	E2F4
E2F4_M07942_2.00	E2F4
E2F4_M07943_2.00	E2F4
E2F4_M08109_2.00	E2F4
E2F5_E2F5_HUMAN.H11MO.0.B	E2F5
E2F6_E2F6_HUMAN.H11MO.0.A	E2F6
E2F6_M07939_2.00	E2F6
E2F6_M07940_2.00	E2F6
E2F6_M07941_2.00	E2F6
E2F6_M08107_2.00	E2F6
E2F6_MA0471.2	E2F6
E2F7_E2F7_HUMAN.H11MO.0.B	E2F7
EBF1_MA0154.4	EBF1
EBF3_MA1637.1	EBF3
EGR1_EGR1_HUMAN.H11MO.0.A	EGR1
EGR1_M07927_2.00	EGR1
EGR1_M07928_2.00	EGR1
EGR1_M07929_2.00	EGR1
EGR1_MA0162.4	EGR1
EGR2_EGR2_HUMAN.H11MO.0.A	EGR2
EGR2_M08302_2.00	EGR2
EGR3_M08349_2.00	EGR3
EHF_EHF_HUMAN.H11MO.0.B	EHF
EHF_MA0598.3	EHF
ELF1_ELF1_HUMAN.H11MO.0.A	ELF1
ELF1_M07947_2.00	ELF1
ELF1_M07948_2.00	ELF1
ELF1_M07949_2.00	ELF1
ELF1_M08198_2.00	ELF1
ELF1_MA0473.3	ELF1
ELF2_ELF2_HUMAN.H11MO.0.C	ELF2
ELF3_ELF3_HUMAN.H11MO.0.A	ELF3
ELF3_MA0640.2	ELF3
ELF5_ELF5_HUMAN.H11MO.0.A	ELF5
ELK1_ELK1_HUMAN.H11MO.0.B	ELK1
ELK4_ELK4_HUMAN.H11MO.0.A	ELK4
ELK4_M07957_2.00	ELK4
ELK4_M07958_2.00	ELK4
ELK4_M08112_2.00	ELK4
ELK4_MA0076.2	ELK4
EPAS1_EPAS1_HUMAN.H11MO.0.B	EPAS1
ERG_ERG_HUMAN.H11MO.0.A	ERG
ERR1_ERR1_HUMAN.H11MO.0.A	ERR1
ERR2_ERR2_HUMAN.H11MO.0.A	ERR2
ERR3_ERR3_HUMAN.H11MO.0.B	ERR3
ESR1_ESR1_HUMAN.H11MO.0.A	ESR1
ESR1_M07985_2.00	ESR1
ESR1_M08217_2.00	ESR1
ESR1_M08218_2.00	ESR1
ESR2_ESR2_HUMAN.H11MO.0.A	ESR2
ESR2_M08154_2.00	ESR2
ESR2_MA0258.2	ESR2
ESRRA_M07988_2.00	ESRRA
ESRRA_M07989_2.00	ESRRA
ESRRA_MA0592.3	ESRRA
ETS1_ETS1_HUMAN.H11MO.0.A	ETS1
ETS1_M07950_2.00	ETS1
ETS1_M07951_2.00	ETS1
ETS2_ETS2_HUMAN.H11MO.0.B	ETS2
ETV1_ETV1_HUMAN.H11MO.0.A	ETV1
ETV1_MA0761.2	ETV1
ETV2_ETV2_HUMAN.H11MO.0.B	ETV2
ETV4_ETV4_HUMAN.H11MO.0.B	ETV4
ETV5_ETV5_HUMAN.H11MO.0.C	ETV5
EVI1_EVI1_HUMAN.H11MO.0.B	EVI1
EWSR1-FLI1_MA0149.1	EWSR1-FLI1
FEV_FEV_HUMAN.H11MO.0.B	FEV
FEZF1_FEZF1_HUMAN.H11MO.0.C	FEZF1
FEZF1_M08307_2.00	FEZF1
FLI1_FLI1_HUMAN.H11MO.0.A	FLI1
FLI1_M08111_2.00	FLI1
FOS_FOS_HUMAN.H11MO.0.A	FOS
FOS_M07826_2.00	FOS
FOS_M07827_2.00	FOS
FOS_M07828_2.00	FOS
FOS_M08069_2.00	FOS
FOS_MA0476.1	FOS
FOSB_FOSB_HUMAN.H11MO.0.A	FOSB
FOSL1_FOSL1_HUMAN.H11MO.0.A	FOSL1
FOSL1_M07833_2.00	FOSL1
FOSL1_M08071_2.00	FOSL1
FOSL1_MA0477.2	FOSL1
FOSL2_FOSL2_HUMAN.H11MO.0.A	FOSL2
FOSL2_M07812_2.00	FOSL2
FOSL2_M08064_2.00	FOSL2
FOSL2_MA0478.1	FOSL2
FOXA1_FOXA1_HUMAN.H11MO.0.A	FOXA1
FOXA1_M07960_2.00	FOXA1
FOXA1_M07961_2.00	FOXA1
FOXA1_M07962_2.00	FOXA1
FOXA1_M08028_2.00	FOXA1
FOXA1_M08117_2.00	FOXA1
FOXA1_M08199_2.00	FOXA1
FOXA1_MA0148.4	FOXA1
FOXA2_FOXA2_HUMAN.H11MO.0.A	FOXA2
FOXA2_M07959_2.00	FOXA2
FOXA2_MA0047.3	FOXA2
FOXA3_FOXA3_HUMAN.H11MO.0.B	FOXA3
FOXA3_MA1683.1	FOXA3
FOXC1_FOXC1_HUMAN.H11MO.0.C	FOXC1
FOXH1_FOXH1_HUMAN.H11MO.0.A	FOXH1
FOXH1_M08119_2.00	FOXH1
FOXH1_MA0479.1	FOXH1
FOXI1_FOXI1_HUMAN.H11MO.0.B	FOXI1
FOXJ2_FOXJ2_HUMAN.H11MO.0.C	FOXJ2
FOXJ3_FOXJ3_HUMAN.H11MO.0.A	FOXJ3
FOXK1_FOXK1_HUMAN.H11MO.0.A	FOXK1
FOXK1_M08120_2.00	FOXK1
FOXK1_MA0852.2	FOXK1
FOXK2_M08118_2.00	FOXK2
FOXK2_MA1103.2	FOXK2
FOXM1_FOXM1_HUMAN.H11MO.0.A	FOXM1
FOXO1_FOXO1_HUMAN.H11MO.0.A	FOXO1
FOXO3_FOXO3_HUMAN.H11MO.0.B	FOXO3
FOXO4_FOXO4_HUMAN.H11MO.0.C	FOXO4
FOXP1_FOXP1_HUMAN.H11MO.0.A	FOXP1
FOXP1_M08115_2.00	FOXP1
FOXP1_MA0481.3	FOXP1
FOXP2_FOXP2_HUMAN.H11MO.0.C	FOXP2
FOXP2_M08116_2.00	FOXP2
FOXP2_MA0593.1	FOXP2
FOXQ1_FOXQ1_HUMAN.H11MO.0.C	FOXQ1
GABPA_GABPA_HUMAN.H11MO.0.A	GABPA
GABPA_M07952_2.00	GABPA
GABPA_M07953_2.00	GABPA
GABPA_M07954_2.00	GABPA
GABPA_M07955_2.00	GABPA
GABPA_M07956_2.00	GABPA
GABPA_MA0062.3	GABPA
GATA1_GATA1_HUMAN.H11MO.0.A	GATA1
GATA1_M07963_2.00	GATA1
GATA1_M07964_2.00	GATA1
GATA1_M08202_2.00	GATA1
GATA1_M08203_2.00	GATA1
GATA1_MA0035.4	GATA1
GATA1TAL1_MA0140.2	GATA1TAL1
GATA2_GATA2_HUMAN.H11MO.0.A	GATA2
GATA2_M07966_2.00	GATA2
GATA2_M07967_2.00	GATA2
GATA2_M07968_2.00	GATA2
GATA2_M07969_2.00	GATA2
GATA2_M07970_2.00	GATA2
GATA2_M08125_2.00	GATA2
GATA2_MA0036.3	GATA2
GATA3_GATA3_HUMAN.H11MO.0.A	GATA3
GATA3_M07965_2.00	GATA3
GATA4_GATA4_HUMAN.H11MO.0.A	GATA4
GATA4_MA0482.2	GATA4
GATA6_GATA6_HUMAN.H11MO.0.A	GATA6
GATA6_M08124_2.00	GATA6
GATA6_MA1104.2	GATA6
GCR_GCR_HUMAN.H11MO.0.A	GCR
GFI1_GFI1_HUMAN.H11MO.0.C	GFI1
GFI1B_GFI1B_HUMAN.H11MO.0.A	GFI1B
GLI3_GLI3_HUMAN.H11MO.0.B	GLI3
GLI4_M08394_2.00	GLI4
GLIS1_M08345_2.00	GLIS1
GRHL2_GRHL2_HUMAN.H11MO.0.A	GRHL2
GRHL2_M08129_2.00	GRHL2
GRHL2_MA1105.2	GRHL2
GTF3A_M08301_2.00	GTF3A
HAND2_MA1638.1	HAND2
HEN1_HEN1_HUMAN.H11MO.0.C	HEN1
HIC1_HIC1_HUMAN.H11MO.0.C	HIC1
HIF1A_HIF1A_HUMAN.H11MO.0.C	HIF1A
HIF1A_M08049_2.00	HIF1A
HIF1A_MA1106.1	HIF1A
HINFP_HINFP_HUMAN.H11MO.0.C	HINFP
HKR1_M07662_2.00	HKR1
HLF_HLF_HUMAN.H11MO.0.C	HLF
HLF_MA0043.3	HLF
HNF1A_HNF1A_HUMAN.H11MO.0.C	HNF1A
HNF1B_HNF1B_HUMAN.H11MO.0.A	HNF1B
HNF4A_HNF4A_HUMAN.H11MO.0.A	HNF4A
HNF4A_M08219_2.00	HNF4A
HNF4A_M08220_2.00	HNF4A
HNF4A_MA0114.4	HNF4A
HNF4G_HNF4G_HUMAN.H11MO.0.B	HNF4G
HNF4G_M08155_2.00	HNF4G
HNF4G_MA0484.2	HNF4G
HNF6_HNF6_HUMAN.H11MO.0.B	HNF6
HOXB13_MA0901.2	HOXB13
HSF1_HSF1_HUMAN.H11MO.0.A	HSF1
HSF1_M07977_2.00	HSF1
HSF2_HSF2_HUMAN.H11MO.0.A	HSF2
HTF4_HTF4_HUMAN.H11MO.0.A	HTF4
HXA1_HXA1_HUMAN.H11MO.0.C	HXA1
HXA10_HXA10_HUMAN.H11MO.0.C	HXA10
HXA13_HXA13_HUMAN.H11MO.0.C	HXA13
HXA9_HXA9_HUMAN.H11MO.0.B	HXA9
HXB13_HXB13_HUMAN.H11MO.0.A	HXB13
HXB4_HXB4_HUMAN.H11MO.0.B	HXB4
HXB7_HXB7_HUMAN.H11MO.0.C	HXB7
HXB8_HXB8_HUMAN.H11MO.0.C	HXB8
HXC9_HXC9_HUMAN.H11MO.0.C	HXC9
IKZF1_IKZF1_HUMAN.H11MO.0.C	IKZF1
IKZF1_MA1508.1	IKZF1
IKZF3_M08320_2.00	IKZF3
INSM1_INSM1_HUMAN.H11MO.0.C	INSM1
IRF1_IRF1_HUMAN.H11MO.0.A	IRF1
IRF1_M08142_2.00	IRF1
IRF2_IRF2_HUMAN.H11MO.0.A	IRF2
IRF3_IRF3_HUMAN.H11MO.0.B	IRF3
IRF4_IRF4_HUMAN.H11MO.0.A	IRF4
IRF4_M07978_2.00	IRF4
IRF7_IRF7_HUMAN.H11MO.0.C	IRF7
IRF8_IRF8_HUMAN.H11MO.0.B	IRF8
IRF9_IRF9_HUMAN.H11MO.0.C	IRF9
ISL1_ISL1_HUMAN.H11MO.0.A	ISL1
ITF2_ITF2_HUMAN.H11MO.0.C	ITF2
JUN_JUN_HUMAN.H11MO.0.A	JUN
JUN_M07834_2.00	JUN
JUN_M07835_2.00	JUN
JUN_M07836_2.00	JUN
JUN_M07837_2.00	JUN
JUN_M07838_2.00	JUN
JUN_M08072_2.00	JUN
JUN_M08073_2.00	JUN
JUN_MA0488.1	JUN
JUNB_JUNB_HUMAN.H11MO.0.A	JUNB
JUNB_M07829_2.00	JUNB
JUNB_M08070_2.00	JUNB
JUNB_MA0490.2	JUNB
JUND_JUND_HUMAN.H11MO.0.A	JUND
JUND_M07814_2.00	JUND
JUND_M07815_2.00	JUND
JUND_M07816_2.00	JUND
JUND_M07817_2.00	JUND
JUND_M07818_2.00	JUND
JUND_M07819_2.00	JUND
JUND_M07820_2.00	JUND
JUND_M08067_2.00	JUND
JUND_M08068_2.00	JUND
