motif_id	tf_name	tf_class	tf_family	tf_subfamily
CEBPB_CEBPB_HUMAN.H11MO.0.A	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPB_M07830_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPB_M07831_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPB_M07832_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPD_CEBPD_HUMAN.H11MO.0.C	CEBPD	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPD_MA0836.2	CEBPD	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPE_CEBPE_HUMAN.H11MO.0.A	CEBPE	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPG_CEBPG_HUMAN.H11MO.0.B	CEBPG	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPG_MA1636.1	CEBPG	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CLOCK_CLOCK_HUMAN.H11MO.0.C	CLOCK	basic helix-loop-helix (bHLH) factors	PAS domain factors	Arnt-like factors
COE1_COE1_HUMAN.H11MO.0.A	COE1	Rel homology region (RHR) factors	early B-cell factor-related factors	N/A
COT1_COT1_HUMAN.H11MO.0.C	COT1	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	COUP-like receptors (NR2F)
COT2_COT2_HUMAN.H11MO.0.A	COT2	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	COUP-like receptors (NR2F)
CREB1_CREB1_HUMAN.H11MO.0.A	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CREB1_M08066_2.00	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CREB1_MA0018.4	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CREM_CREM_HUMAN.H11MO.0.C	CREM	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CREM_MA0609.2	CREM	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CRX_CRX_HUMAN.H11MO.0.B	CRX	homeo domain factors	paired-related HD factors	OTX
CTCF_CTCF_HUMAN.H11MO.0.A	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07862_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07863_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07864_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07865_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07866_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07867_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07868_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07869_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07870_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07871_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07872_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07873_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07874_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07875_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07876_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07877_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07878_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07879_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
